case_id,name,age,gender,person_id,entity_key
1,Raju Naik,54,M,A1,7ab2c66ebd
2,Sowmya Gowda,37,F,A1,d6ea4dc66c
2,Savitri Poojary,55,F,A2,9345083dc4
2,Raju Rao,47,M,A3,6efd27a908
3,Anil Hegde,37,M,A1,6998d520cc
4,Basavaraj Shetty,43,M,A1,d838e3c45c
4,Raju Patil,18,M,A2,4f4eab9c0c
4,Santosh Gowda,53,M,A3,626bf497e8
5,Praveen Gowda,22,M,A1,7644859309
6,Radha,30,F,A1,0ba63fb36d
7,Nandini Kumar,52,F,A1,816bba3097
8,Suresh Reddy,30,M,A1,9ede3074b8
9,Kiran Reddy,47,M,A1,93d5ee987a
10,Nandini Naik,20,F,A1,9bbf0c2e70
11,Savitri Poojary,20,F,A1,97e7f32841
12,Ganesh Poojary,48,M,A1,b6fdd5f43d
13,Sushma Gowda,44,F,A1,52470c2c2c
13,Srinivas Shetty,32,M,A2,c011bc9ee8
13,Santosh,41,M,A3,54b8e42b4c
14,Ganesh Gowda,45,M,A1,fea0cceded
15,Basavaraj,37,M,A1,4ad67c26d6
15,Mahesh,43,M,A2,b43f25f982
16,Santosh Shetty,23,M,A1,e930194533
16,Ganesh Shetty,49,M,A2,3e9fd964b7
17,Kiran Reddy,48,M,A1,73b083d9ed
18,Shivakumar Shetty,24,M,A1,b90eb69091
19,Santosh,22,M,A1,bdb661b3da
19,Prasad Patil,42,M,A2,8dec58ab07
20,Anil,38,M,A1,cc4714a52b
21,Nagaraj Reddy,47,M,A1,80a70e4237
21,Basavaraj Achar,21,M,A2,eb969405b8
21,Naveen Achar,49,M,A3,e4368802f6
22,Anil Kumar,25,M,A1,5e8b91dede
23,Naveen Reddy,44,M,A1,40fc0c9baf
24,Naveen Poojary,51,M,A1,740cf855db
24,Manjunath Kumar,33,M,A2,04624c5c84
25,Bhavani,20,F,A1,bcde1ab1a6
26,Suresh Poojary,34,M,A1,596bf87df1
27,Vinay Hegde,27,M,A1,878365c78b
28,Praveen,51,M,A1,c6cfbbaa28
28,Raju Shetty,35,M,A2,08023fcaa3
28,Prasad Shetty,47,M,A3,ddb1ecf944
29,Kavya Hegde,19,F,A1,883f6a9c69
29,Naveen Hegde,27,M,A2,5306abaafc
30,Pooja Achar,46,F,A1,347a10a85d
30,Raju Rao,48,M,A2,29970a2acb
30,Sowmya Rao,26,F,A3,982dabafae
31,Chaitra Kumar,27,F,A1,130245968a
31,Naveen Shetty,30,M,A2,540d85380b
32,Santosh Naik,22,M,A1,60d20b4d21
33,Ravi Achar,25,M,A1,838a4b2150
33,Savitri Patil,29,F,A2,27e707fe0f
34,Sowmya Patil,53,F,A1,5670eddfd1
34,Srinivas Patil,42,M,A2,9611d5148e
35,Suresh Hegde,19,M,A1,46d36fbe50
36,Ramesh Patil,37,M,A1,130fa9c4ba
37,Kavya Reddy,22,F,A1,f72bd3ada8
38,Srinivas Kumar,30,M,A1,723c231043
39,Anil Kumar,25,M,A1,5e8b91dede
39,Naveen Achar,32,M,A2,622abec8a6
40,Praveen,23,M,A1,19417bcfd3
40,Vinay Naik,30,M,A2,31db2e12e5
40,Shivakumar Poojary,43,M,A3,1ade5a502c
41,Ravi Naik,52,M,A1,9ee68273f7
42,Praveen Reddy,35,M,A1,492784724b
42,Manjunath Patil,32,M,A2,a353749a89
43,Mahesh Achar,54,M,A1,8e10cdae1e
44,Ramesh Hegde,20,M,A1,35e5e72a6f
45,Basavaraj Shetty,38,M,A1,ecf56043f5
45,Ganesh Patil,44,M,A2,7534f97d99
45,Naveen Achar,50,M,A3,e4368802f6
46,Geetha Hegde,53,F,A1,23d7a398d3
47,Ravi Kumar,29,M,A1,f0376f5344
48,Pooja Naik,51,F,A1,fd9b830457
49,Basavaraj Rao,54,M,A1,608d25e936
50,Ravi Achar,35,M,A1,2e3c876f77
51,Mahesh Rao,44,M,A1,6290c22053
52,Ravi Reddy,47,M,A1,67765188cb
53,Srinivas Rao,51,M,A1,aae3c4e1fd
54,Mahesh Gowda,21,M,A1,095dd66df2
54,Suresh,49,M,A2,4821186d2c
55,Nagaraj Rao,26,M,A1,87acb28cd0
56,Ganesh Achar,36,M,A1,0896a01559
57,Manjunath Naik,45,M,A1,52cb565411
58,Ravi Reddy,54,M,A1,16a45c6ae3
59,Anitha,46,F,A1,6ec4b7cd1e
60,Manjula Shetty,45,F,A1,6526129e55
61,Ravi Hegde,26,M,A1,fb92e1d504
61,Ramesh Kumar,39,M,A2,62f28d3343
61,Nandini,18,F,A3,1c22845d25
62,Nandini Gowda,36,F,A1,26479eee0c
63,Vinay Rao,24,M,A1,218e5e085b
64,Suresh Patil,28,M,A1,7dddb3ea5f
65,Nandini Reddy,54,F,A1,9f62facc1a
66,Srinivas Shetty,44,M,A1,b0d53df744
67,Nagaraj Gowda,44,M,A1,4b9ebe409a
68,Srinivas Hegde,55,M,A1,cd52e08885
68,Anitha Shetty,36,F,A2,8998e8c266
68,Radha Rao,45,F,A3,3368233e61
69,Naveen,30,M,A1,5a34ffc4f6
70,Shivakumar Reddy,22,M,A1,f6a8f2ad23
71,Prasad,21,M,A1,00a7d74183
72,Anil Naik,54,M,A1,6b1a6f7903
73,Basavaraj Naik,38,M,A1,21287c3bfc
74,Kiran Poojary,30,M,A1,7939d5b05c
75,Kiran Achar,54,M,A1,157ffd4f0d
75,Deepa Reddy,52,F,A2,89ad837eb2
76,Basavaraj Hegde,50,M,A1,6adc2ed133
77,Prasad Naik,41,M,A1,8590bfe8cc
78,Mahesh Kumar,21,M,A1,a39937f601
79,Sowmya Reddy,36,F,A1,c4b0e2fb59
80,Bhavani Achar,51,F,A1,d2552d2451
81,Raju Hegde,55,M,A1,75c4afcc63
82,Praveen Achar,34,M,A1,d9ea8b501c
82,Vinay Rao,40,M,A2,c717bc9d1c
82,Pooja Poojary,18,F,A3,2eb9a35491
83,Basavaraj Naik,27,M,A1,c40d7df2d8
84,Basavaraj Achar,20,M,A1,af92fcb5c6
85,Ravi Naik,31,M,A1,6a1bb398ac
86,Raju Patil,40,M,A1,ce99cac6bc
87,Vinay Achar,28,M,A1,6d3c412b61
88,Sushma Rao,55,F,A1,32e28fae87
88,Nagaraj Naik,36,M,A2,b577f5a048
88,Suresh Hegde,34,M,A3,7d3919b9fc
89,Bhavani Reddy,18,F,A1,8aff74b819
89,Anil Rao,52,M,A2,88c5421c8b
89,Nagaraj Hegde,53,M,A3,e48b10aaa5
90,Basavaraj,44,M,A1,74a27e0e52
90,Santosh Reddy,30,M,A2,cdf23f5d7f
91,Ravi Achar,42,M,A1,d2a4ae4ad0
92,Suresh Shetty,26,M,A1,01aa15afac
93,Shivakumar Kumar,34,M,A1,06847dfdc3
94,Ramesh,22,M,A1,da4ead9435
94,Radha Patil,51,F,A2,4c1eb0903a
95,Shobha Hegde,24,F,A1,aae8fc2a0a
96,Ramesh Gowda,26,M,A1,c4a39f10e2
97,Suresh Reddy,33,M,A1,9a09a4c20b
98,Ganesh Gowda,35,M,A1,03e64379ad
98,Nagaraj Poojary,49,M,A2,c6e9d34e30
99,Santosh,21,M,A1,bdb661b3da
100,Vinay,35,M,A1,06dfbbe711
101,Prasad Hegde,33,M,A1,83699cca3e
102,Sushma Poojary,40,F,A1,ea5e0ceb56
103,Suresh Shetty,35,M,A1,568709a663
104,Geetha Naik,41,F,A1,0f90f21411
105,Suresh Gowda,50,M,A1,221091bb8d
105,Praveen Rao,43,M,A2,4b90810a31
105,Ganesh Hegde,52,M,A3,68697c73a4
106,Anitha Hegde,44,F,A1,74ba7ebf20
107,Ganesh Reddy,50,M,A1,52f907fbd7
108,Praveen,48,M,A1,b1ff699e27
109,Radha Poojary,46,F,A1,223edb8903
109,Shobha Shetty,50,F,A2,1c21412557
109,Santosh Kumar,25,M,A3,8fb0057a20
110,Lakshmi Kumar,19,F,A1,7cbbd55b5b
110,Manjula Rao,32,F,A2,131559759a
110,Basavaraj Poojary,40,M,A3,38d8e06ddd
111,Savitri Patil,28,F,A1,27e707fe0f
112,Suresh Gowda,35,M,A1,6d183a9a3e
112,Anil Poojary,24,M,A2,0158ca5a04
112,Ramesh Patil,21,M,A3,466f74d6b2
113,Ganesh Kumar,40,M,A1,17f02778f8
114,Sowmya Rao,51,F,A1,6407bfcbe6
115,Praveen Kumar,39,M,A1,150c376eda
116,Ganesh Shetty,47,M,A1,6dd8bd3b55
117,Shivakumar Hegde,20,M,A1,882904d27c
117,Lakshmi Poojary,28,F,A2,4ed3df71d4
118,Anil Hegde,55,M,A1,a83637f70a
119,Raju Naik,40,M,A1,c488b70d20
120,Santosh Poojary,39,M,A1,0e47a4b087
120,Shivakumar Reddy,25,M,A2,bf1b635fa5
120,Savitri,31,F,A3,32e6e25115
121,Ganesh Achar,51,M,A1,fb25960d7c
122,Kiran Poojary,41,M,A1,c8a8c41290
123,Santosh Hegde,50,M,A1,fe2823862e
124,Raju,27,M,A1,60c97c270a
124,Mahesh,27,M,A2,79eb77f9d9
125,Santosh Reddy,43,M,A1,22bf045ebd
126,Santosh Naik,22,M,A1,60d20b4d21
126,Sushma Kumar,21,F,A2,52a8e12bd5
126,Srinivas Achar,43,M,A3,6fda2ef8d0
127,Raju,27,M,A1,60c97c270a
128,Shivakumar Kumar,55,M,A1,40e21645b6
129,Suresh Hegde,41,M,A1,749132647f
130,Manjunath Reddy,30,M,A1,35a7a6f051
131,Basavaraj Hegde,25,M,A1,55826716bb
132,Manjunath Hegde,28,M,A1,bb9bf8f94a
133,Shobha,49,F,A1,4ef0c826b8
133,Srinivas Patil,54,M,A2,c24b90d43b
134,Manjunath Hegde,21,M,A1,78d8e4784c
134,Shivakumar Kumar,49,M,A2,5e8ba799ff
134,Basavaraj,45,M,A3,979bb0e0df
135,Nagaraj Rao,30,M,A1,f188c31e7b
136,Sushma Poojary,44,F,A1,45822e47bb
137,Suresh,47,M,A1,eefb04e129
138,Srinivas Gowda,29,M,A1,739c7e72f7
139,Raju,22,M,A1,be2ea9eb77
140,Ganesh Kumar,18,M,A1,0e3e8c1d75
140,Prasad Poojary,18,M,A2,5412355a15
141,Manjunath Hegde,31,M,A1,998d7c9e96
142,Deepa Hegde,31,F,A1,52064ebb72
143,Ravi Shetty,51,M,A1,c1c4264938
144,Sowmya Reddy,50,F,A1,d73ec304ea
145,Anitha Patil,38,F,A1,5031f24e17
146,Lakshmi Reddy,51,F,A1,801ac6a4ca
146,Shivakumar Naik,45,M,A2,8c9310595e
147,Shivakumar Patil,47,M,A1,7ca9d078bc
148,Sushma Achar,26,F,A1,ff371b23b3
149,Deepa,31,F,A1,46616e288e
150,Lakshmi Hegde,31,F,A1,d7144f1bb9
150,Vinay Kumar,48,M,A2,a2688da5f7
150,Basavaraj Reddy,25,M,A3,ee0489343f
151,Geetha Hegde,33,F,A1,c977baed6e
152,Ramesh Achar,25,M,A1,183e24c946
153,Anil Shetty,25,M,A1,f04cc921b7
154,Ganesh Reddy,22,M,A1,1c255a237f
155,Naveen Hegde,20,M,A1,b67a6680ee
