case_id,name,occupation
1,Ravi Shetty,Business
2,Raju Patil,Farmer
3,Shobha Naik,Private Employee
4,Kiran Shetty,Business
5,Deepa Gowda,Business
6,Shobha,Private Employee
7,Srinivas Gowda,Unemployed
8,Srinivas Shetty,Unemployed
9,Santosh Gowda,Farmer
10,Anitha Patil,Unemployed
11,Savitri Kumar,Unemployed
12,Sushma,Unemployed
13,Anitha Patil,Farmer
14,Praveen Reddy,Farmer
15,Nandini Kumar,Student
16,Prasad Hegde,Homemaker
17,Vinay Patil,Private Employee
18,Naveen Reddy,Private Employee
19,Basavaraj Patil,Student
20,Shobha Achar,Student
21,Shobha Reddy,Private Employee
22,Ganesh Kumar,Farmer
23,Naveen Gowda,Student
24,Vinay Rao,Business
25,Geetha Poojary,Government Employee
26,Manjunath Patil,Student
27,Raju Achar,Private Employee
28,Chaitra Kumar,Student
29,Ganesh Naik,Government Employee
30,Praveen Shetty,Private Employee
31,Naveen Kumar,Farmer
32,Sowmya Rao,Private Employee
33,Ganesh Gowda,Unemployed
34,Kiran Gowda,Homemaker
35,Anitha Gowda,Business
36,Anil Hegde,Farmer
37,Kiran Achar,Unemployed
38,Ravi Gowda,Private Employee
39,Deepa Patil,Unemployed
40,Pooja Gowda,Private Employee
41,Basavaraj Kumar,Business
42,Naveen,Unemployed
43,Radha Patil,Student
44,Kavya Hegde,Farmer
45,Ganesh Achar,Government Employee
46,Mahesh Rao,Homemaker
47,Anitha Poojary,Student
48,Geetha Shetty,Farmer
49,Manjunath Patil,Student
50,Praveen Hegde,Homemaker
51,Srinivas Reddy,Student
52,Ganesh Shetty,Homemaker
53,Sowmya Shetty,Farmer
54,Anitha Kumar,Farmer
55,Srinivas Poojary,Student
56,Anil Hegde,Government Employee
57,Lakshmi Achar,Government Employee
58,Praveen,Farmer
59,Deepa Shetty,Private Employee
60,Sowmya,Student
61,Praveen Gowda,Student
62,Basavaraj Achar,Farmer
63,Nagaraj Reddy,Homemaker
64,Kiran Hegde,Government Employee
65,Anitha Poojary,Unemployed
66,Geetha Kumar,Farmer
67,Shobha Patil,Government Employee
68,Shobha Naik,Homemaker
69,Geetha Patil,Student
70,Shivakumar Naik,Unemployed
71,Kavya Hegde,Unemployed
72,Savitri Achar,Unemployed
73,Sowmya Shetty,Farmer
74,Shivakumar Reddy,Unemployed
75,Vinay Gowda,Homemaker
76,Kiran Poojary,Unemployed
77,Nandini Naik,Private Employee
78,Anil Kumar,Homemaker
79,Santosh Rao,Unemployed
80,Nagaraj Hegde,Business
