case_id,name,age,gender
1,Anitha Reddy,60,M
2,Raju Patil,47,F
3,Shobha Naik,43,F
4,Vinay Hegde,20,F
5,Naveen Achar,48,F
5,Srinivas Rao,22,M
6,Shobha,11,M
6,Srinivas Gowda,66,M
7,Srinivas Gowda,65,F
8,Srinivas Shetty,70,F
8,Praveen Poojary,31,M
9,Nandini Kumar,35,M
10,Anitha Patil,40,F
10,Chaitra Poojary,26,M
11,Bhavani Patil,64,M
12,Sushma,66,F
13,Anil Kumar,19,M
13,Mahesh Hegde,49,M
14,Praveen Reddy,14,F
15,Nandini Kumar,67,F
15,Geetha Kumar,32,F
16,Prasad Hegde,65,M
16,Kiran,33,M
17,Vinay Patil,38,M
17,Manjunath Achar,52,F
18,Naveen Reddy,46,F
18,Chaitra Patil,36,M
19,Chaitra Rao,34,M
20,Mahesh Reddy,39,F
21,Shobha Reddy,10,F
22,Ganesh Kumar,29,F
23,Manjula Hegde,13,F
23,Bhavani Gowda,34,M
24,Shivakumar Patil,27,M
25,Anitha Rao,39,F
25,Sushma Rao,61,F
26,Deepa Hegde,31,F
26,Nandini Hegde,28,M
27,Anitha Patil,34,F
28,Naveen Kumar,57,M
28,Naveen Kumar,53,F
29,Ganesh Patil,45,M
30,Manjula,53,M
30,Radha Poojary,20,M
31,Raju,67,F
31,Geetha Naik,69,F
32,Nagaraj Naik,23,M
32,Manjula Patil,61,F
33,Ganesh Gowda,28,M
34,Kiran Gowda,24,M
34,Raju Reddy,38,M
35,Anitha Gowda,64,F
36,Prasad Reddy,58,F
37,Santosh Naik,21,M
37,Pooja Gowda,27,F
38,Vinay Patil,34,F
38,Naveen Achar,50,M
39,Deepa Patil,57,M
39,Sowmya Reddy,62,M
40,Pooja Gowda,44,F
40,Suresh Reddy,35,F
41,Basavaraj Kumar,57,M
42,Ravi Gowda,31,F
43,Sushma Poojary,49,M
43,Vinay,66,F
44,Kavya Hegde,67,F
45,Ganesh Achar,8,F
46,Anitha Poojary,19,F
46,Geetha Hegde,25,M
47,Anitha Poojary,31,F
47,Bhavani Achar,25,F
48,Geetha Shetty,52,F
48,Praveen Patil,56,M
49,Mahesh Hegde,13,M
49,Kavya Poojary,52,F
50,Radha Rao,13,F
50,Santosh Hegde,13,F
51,Manjunath Gowda,27,F
52,Ganesh Shetty,59,M
53,Sowmya Shetty,49,F
53,Sowmya Gowda,23,F
54,Anitha Kumar,43,F
54,Basavaraj Shetty,40,F
55,Nandini Achar,21,M
55,Shivakumar Hegde,51,F
56,Anil Hegde,40,F
57,Pooja Poojary,70,M
57,Sowmya Poojary,20,F
58,Praveen,70,M
58,Nagaraj Shetty,32,F
59,Deepa Shetty,44,F
59,Srinivas,45,F
60,Sowmya,47,M
61,Praveen Gowda,64,M
61,Nagaraj Reddy,8,F
62,Basavaraj Achar,16,F
62,Naveen Kumar,21,M
63,Nagaraj Reddy,65,M
63,Anitha Poojary,17,F
64,Kiran Hegde,68,M
65,Anitha Poojary,45,M
66,Radha Naik,46,F
66,Pooja Kumar,68,M
67,Shobha Patil,33,F
68,Chaitra Kumar,55,M
68,Kiran Reddy,65,F
69,Geetha Patil,16,F
70,Pooja Gowda,18,F
71,Kavya Hegde,23,M
72,Manjunath Rao,12,M
73,Manjunath Gowda,12,M
73,Mahesh Shetty,41,F
74,Ravi Rao,62,M
75,Manjunath Poojary,47,F
75,Chaitra,32,F
76,Kiran Poojary,52,F
77,Geetha Hegde,65,F
